"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030595","leukocyte chemotaxis","67/3925","217/18842",0.308755760368664,1.48218497754557,3.66459903159806,0.0003044198727169,0.00375277346302183,0.00375277346302183,"AZU1/CCL2/DEFB124/CCR7/F7/EDN3/SLAMF8/CCL21/PTN/RARRES2/CCL16/CXCR2/EDN1/CCR6/CXCL5/CCL24/PPBP/CCL23/PF4/DPP4/CTSG/CXCR4/VEGFD/CCL19/C5AR2/MDK/CCN3/CXCL3/IL6/TRPM2/SCG2/CCL7/CCL11/IL34/CH25H/DUSP1/EDN2/CXCL11/KIT/ANO6/S100A14/ADAM8/ANXA1/CX3CL1/CXCL17/CHGA/S100A7/CXCL12/NEDD9/CCL13/CXCL13/MSTN/STAP1/SLIT2/S100A12/CXCL10/CXCL6/CXCL9/JAM3/SAA1/DPEP1/GREM1/EDNRB/C3/CCL28/CXCR3/BST1",67
"GO:0085029","extracellular matrix assembly","20/3925","45/18842",0.444444444444444,2.13355980184006,3.90514786992055,0.0003076977048561,0.00378507625396702,0.00378507625396702,"TIE1/MIR145/TGFBR3/MFAP4/GPM6B/RAMP2/RGCC/TNXB/HAS3/PPARG/HAS1/COL3A1/LTBP4/PXDNL/MIR27B/NTN4/AGT/COL8A1/MYH11/FBLN5",20
"GO:0045638","negative regulation of myeloid cell differentiation","31/3925","82/18842",0.378048780487805,1.81482678266273,3.79303513045464,0.000309552952202154,0.00379977898897186,0.00379977898897186,"INHBA/ZFP36/MEIS2/CIB1/ZBTB16/HOXA9/PF4/H4C12/H4C4/INHA/MYB/H4C11/ADIPOQ/LEO1/PRDM16/KISS1R/STAC2/ZFPM1/TMEM178A/ERFE/CARTPT/H4C8/QKI/H4C9/TLR4/HOXA7/HOXA5/KISS1/H4C14/H4C16/H4C5",31
"GO:0050954","sensory perception of mechanical stimulus","48/3925","144/18842",0.333333333333333,1.60016985138004,3.70841991189268,0.000310802536740234,0.00380700043407133,0.00380700043407133,"PAX3/LOXHD1/CACNA1D/CDH23/ESPN/MYO7B/HPN/KCNA1/CLRN3/TRPA1/TMPRSS3/CLIC5/BIRC5/SLC52A3/GRXCR2/HTR2A/COL2A1/TMIE/PTPRQ/SCN9A/DCDC2/COL11A1/MYO3B/KIT/TMEM63B/USP53/CDC14A/UCN/SCN11A/TMC2/KCNE1/TMC1/COL1A1/ATP8B1/CCDC50/PIEZO2/SLITRK6/ROR1/CXCL12/TPRN/CEMIP/LRIG3/COL4A3/MYH1/NPR2/OTOR/LHFPL5/GJB2",48
"GO:0001935","endothelial cell proliferation","59/3925","186/18842",0.317204301075269,1.52274227792617,3.67507233935228,0.000312029444202331,0.00381391403454952,0.00381391403454952,"CCL2/CNMD/LEP/TIE1/XBP1/MIR205/ECM1/PRKCA/FLT4/CAV2/CCR3/CCL24/CD34/LRG1/PRKD1/RGCC/ACVRL1/STAT1/MMRN2/PPARG/FGFBP1/CDH13/MDK/SCG2/IL12B/PTPRM/NOX5/CCL11/MIR10B/EGF/ATOH8/SEMA5A/TEK/BMPER/NRP1/PROK2/PROK1/STAT5A/ITGB1BP1/AKT3/SULF1/PPP1R16B/FGF2/EGR3/ZEB2/CXCL12/CAV1/MIR27B/COL4A3/PROX1/NGFR/BMP6/MMP14/F3/MIR126/TNMD/HMGB2/CXCR3/NR4A1",59
"GO:0021681","cerebellar granular layer development","8/3925","11/18842",0.727272727272727,3.49127967573827,4.23948591121492,0.000315682073697328,0.00383413860395679,0.00383413860395679,"KNDC1/MDK/CBLN1/NRXN1/KIF14/FAIM2/CEND1/PROX1",8
"GO:0034080","CENP-A containing chromatin assembly","8/3925","11/18842",0.727272727272727,3.49127967573827,4.23948591121492,0.000315682073697328,0.00383413860395679,0.00383413860395679,"CENPI/CENPN/HJURP/OIP5/CENPA/MIS18A/CENPW/CENPP",8
"GO:0042436","indole-containing compound catabolic process","8/3925","11/18842",0.727272727272727,3.49127967573827,4.23948591121492,0.000315682073697328,0.00383413860395679,0.00383413860395679,"MAOA/KMO/IDO2/TDO2/IL4I1/HAAO/ACMSD/IDO1",8
"GO:1901991","negative regulation of mitotic cell cycle phase transition","60/3925","190/18842",0.315789473684211,1.51595038551794,3.66651189969713,0.000318392502122072,0.00385891712571952,0.00385891712571952,"INHBA/SPC25/CCL2/KLF4/ZFP36L2/CDC6/MYO16/DTL/PLK1/RGCC/ZWILCH/KANK2/ZC3H12D/CCND1/FAM107A/DONSON/GEN1/NDC80/CDC7/CDK2AP2/BARD1/CCNB1/ORC1/BIRC5/E2F7/CENPF/TEX14/DBF4/BRSK1/MAD2L1/SKA3/TTK/BUB1/DUSP1/TICRR/CDK1/AURKB/GPR132/NUF2/BLM/PKMYT1/CDCA8/MUC1/CHEK1/KNL1/CDC20/SKA1/BUB1B/HASPIN/CDC14B/USP44/CDKN2D/DCUN1D3/CLSPN/FHL1/FOXN3/SPC24/TRIP13/ZWINT/PKD2",60
"GO:0007059","chromosome segregation","117/3925","420/18842",0.278571428571429,1.33728480436761,3.58578372815566,0.000319571165120887,0.00386506554117846,0.00386506554117846,"SMC4/SPC25/ANKRD53/KIF11/CENPI/SGO2/DPF1/KIFC1/RCC1/CDC6/UBE2C/MAP3K20/SYCP2/IHO1/KIF22/CENPK/PRC1/RGS14/MAPK15/PLK1/ZWILCH/DCAF13/CENPL/ESPL1/KNSTRN/CENPO/KIF25/SPATA22/SYCP1/GEN1/NDC80/UHRF1/CENPS/CCNB1/STIL/TACC3/BIRC5/SYCE1/CENPF/TEX14/NCAPH/DSN1/KAT2B/MAD2L1/P3H4/DLGAP5/ECT2/TOP2A/SKA3/NEK2/TTK/SAC3D1/CENPN/BUB1/FMN2/KIF4A/NCAPG2/TEX11/DUSP1/FANCD2/CDK1/RACGAP1/KIF2C/SPAG5/AURKB/HJURP/CENPE/KIF14/KIF18B/STARD9/NUF2/RMI2/SACK1D/CENPX/CENPA/CCDC69/CDCA8/TUBG1/PPP2R1B/CDCA2/KNL1/CDC20/HORMAD1/CENPM/SKA1/NCAPG/CEP85/BUB1B/HASPIN/SYCE3/PTTG1/USP44/TUBB8/KIF23/KIF18A/RRS1/SGO1/MKI67/CENPU/FIRRM/MAJIN/GPSM2/CENPW/MISP/MTCL1/CENPP/CDT1/PSRC1/NR3C1/ANAPC11/TTN/SPC24/TRIP13/GEM/TPX2/KIF15/ZWINT",117
